,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,imgName,maskName,multimaskName,label
0,0,0,0,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0001.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0001.bmp,Dataset-new-2/Training-400/0853/0851_cup.bmp,1
1,1,1,1,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0002.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0002.bmp,Dataset-new-2/Training-400/0853/0853_cup.bmp,1
2,2,2,2,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0003.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0003.bmp,Dataset-new-2/Training-400/0858/0858_cup.bmp,1
3,3,3,3,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0004.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0004.bmp,Dataset-new-2/Training-400/0859/0859_cup.bmp,1
4,4,4,4,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0005.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0005.bmp,Dataset-new-2/Training-400/0871/0871_cup.bmp,1
5,5,5,5,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0006.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0006.bmp,Dataset-new-2/Training-400/0882/0882_cup.bmp,1
6,6,6,6,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0007.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0007.bmp,Dataset-new-2/Training-400/0883/0883_cup.bmp,1
7,7,7,7,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0008.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0008.bmp,Dataset-new-2/Training-400/0900/0900_cup.bmp,1
8,8,8,8,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0009.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0009.bmp,Dataset-new-2/Training-400/0982/0982_cup.bmp,1
9,9,9,9,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0010.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0010.bmp,Dataset-new-2/Training-400/0983/0983_cup.bmp,1
10,10,10,10,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0011.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0011.bmp,Dataset-new-2/Training-400/1013/1013_cup.bmp,1
11,11,11,11,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0012.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0012.bmp,Dataset-new-2/Training-400/1038/1038_cup.bmp,1
12,12,12,12,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0013.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0013.bmp,Dataset-new-2/Training-400/1039/1039_cup.bmp,1
13,13,13,13,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0014.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0014.bmp,Dataset-new-2/Training-400/1040/1040_cup.bmp,1
14,14,14,14,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0015.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0015.bmp,Dataset-new-2/Training-400/1041/1041_cup.bmp,1
15,15,15,15,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0016.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0016.bmp,Dataset-new-2/Training-400/1042/1042_cup.bmp,1
16,16,16,16,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0017.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0017.bmp,Dataset-new-2/Training-400/1043/1043_cup.bmp,1
17,17,17,17,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0018.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0018.bmp,Dataset-new-2/Training-400/1088/1088_cup.bmp,1
18,18,18,18,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0019.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0019.bmp,Dataset-new-2/Training-400/1118/1118_cup.bmp,1
19,19,19,19,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0020.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0020.bmp,Dataset-new-2/Training-400/1119/1119_cup.bmp,1
20,20,20,20,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0021.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0021.bmp,Dataset-new-2/Training-400/1133/1133_cup.bmp,1
21,21,21,21,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0022.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0022.bmp,Dataset-new-2/Training-400/1169/1169_cup.bmp,1
22,22,22,22,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0023.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0023.bmp,Dataset-new-2/Training-400/1170/1170_cup.bmp,1
23,23,23,23,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0024.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0024.bmp,Dataset-new-2/Training-400/1187/1187_cup.bmp,1
24,24,24,24,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0025.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0025.bmp,Dataset-new-2/Training-400/1205/1205_cup.bmp,1
25,25,25,25,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0026.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0026.bmp,Dataset-new-2/Training-400/1206/1206_cup.bmp,1
26,26,26,26,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0027.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0027.bmp,Dataset-new-2/Training-400/1207/1207_cup.bmp,1
27,27,27,27,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0028.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0028.bmp,Dataset-new-2/Training-400/1211/1211_cup.bmp,1
28,28,28,28,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0029.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0029.bmp,Dataset-new-2/Training-400/1212/1212_cup.bmp,1
29,29,29,29,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0030.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0030.bmp,Dataset-new-2/Training-400/1220/1220_cup.bmp,1
30,30,30,30,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0031.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0031.bmp,Dataset-new-2/Training-400/1221/1221_cup.bmp,1
31,31,31,31,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0032.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0032.bmp,Dataset-new-2/Training-400/1223/1223_cup.bmp,1
32,32,32,32,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0033.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0033.bmp,Dataset-new-2/Training-400/1224/1224_cup.bmp,1
33,33,33,33,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0034.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0034.bmp,Dataset-new-2/Training-400/1225/1225_cup.bmp,1
34,34,34,34,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0035.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0035.bmp,Dataset-new-2/Training-400/1251/1251_cup.bmp,1
35,35,35,35,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0036.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0036.bmp,Dataset-new-2/Training-400/1254/1254_cup.bmp,1
36,36,36,36,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0037.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0037.bmp,Dataset-new-2/Training-400/1255/1255_cup.bmp,1
37,37,37,37,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0038.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0038.bmp,Dataset-new-2/Training-400/1263/1263_cup.bmp,1
38,38,38,38,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0039.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0039.bmp,Dataset-new-2/Training-400/1274/1274_cup.bmp,1
39,39,39,39,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/g0040.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Glaucoma/g0040.bmp,Dataset-new-2/Training-400/1275/1275_cup.bmp,1
40,40,40,40,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/n0001.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Non-Glaucoma/n0001.bmp,Dataset-new-2/Training-400/0826/0826_cup.bmp,0
41,41,41,41,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/n0002.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Non-Glaucoma/n0002.bmp,Dataset-new-2/Training-400/0827/0827_cup.bmp,0
42,42,42,42,REFUGE/Annotation-Training400/Disc_Cup_Fovea_Illustration/n0003.jpg,REFUGE/Annotation-Training400/Disc_Cup_Masks/Non-Glaucoma/n0003.bmp,Dataset-new-2/Training-400/0828/0828_cup.bmp,0
